DepMap_ID,cell_line_name,stripped_cell_line_name,CCLE_Name,alias,COSMICID,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,WTSI_Master_Cell_ID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype
ACH-000479,KNS-81,KNS81,KNS81_CENTRAL_NERVOUS_SYSTEM,,,Male,HSRRB,0.0,-1.854234835,,DMEM + 5% FBS,40.0,CVCL_2799,,central_nervous_system,Primary,Brain Cancer,Glioblastoma,65,SIDM00605,,central_nervous_system,glioma,glioblastoma,
ACH-000480,HuH-7,HUH7,HUH7_LIVER,,907071.0,Male,HSRRB,2.0,-3.868464405,,DMEM + 10% FBS,52.1,CVCL_0336,2195.0,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,57,SIDM00585,,liver,hepatocellular_carcinoma,,
ACH-000481,NCI-H2170,NCIH2170,NCIH2170_LUNG,,687815.0,Male,ATCC,3.0,-3.466151449,Mixed adherent and suspension,RPMI + 10% FBS,85.6,CVCL_1535,1811.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",,SIDM00716,,lung,NSCLC,NSCLC_squamous,
ACH-000482,RERF-LC-KJ,RERFLCKJ,RERFLCKJ_LUNG,,1298537.0,Male,HSRRB,,,,,,CVCL_1654,960.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",78,SIDM00356,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000483,SNU-182,SNU182,SNU182_LIVER,,1240216.0,Male,ATCC,2.0,-3.7145493430000003,Adherent,RPMI + 10% FBS,63.4,CVCL_0090,1481.0,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,24,SIDM01151,,liver,hepatocellular_carcinoma,,
ACH-000484,VMRC-RCW,VMRCRCW,VMRCRCW_KIDNEY,,1240224.0,Male,RIKEN,1.0,-3.2887484189999996,Adherent,EMEM + 10% FBS,91.3,CVCL_1790,1459.0,kidney,Primary,Kidney Cancer,Renal Cell Carcinoma,,SIDM00318,,kidney,renal_cell_carcinoma,,
ACH-000485,GSU,GSU,GSU_STOMACH,,,Male,RIKEN,2.0,-3.373235935,,RPMI + 10% FBS,84.7,CVCL_8877,,ascites,Metastasis,Gastric Cancer,Adenocarcinoma,37,,,gastric,gastric_adenocarcinoma,,
ACH-000486,KU-19-19,KU1919,KU1919_URINARY_TRACT,,907312.0,Male,DSMZ,2.0,-4.256240039,Adherent,RPMI + 10% heat inactivated FBS,66.7,CVCL_1344,892.0,urinary_tract,,Bladder Cancer,Transitional Cell Carcinoma,76,SIDM01033,,urinary_tract,bladder_carcinoma,bladder_transitional_cell,
ACH-000487,F-36P,F36P,F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,DSMZ,2.0,-4.31822383,Suspension,RPMI + 20% FBS + 10ng/ml GM-CSF,82.3,CVCL_2037,,pleural_effusion,Metastasis,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",68,,,blood,AML,M6,
ACH-000488,TE-11,TE11,TE11_OESOPHAGUS,,946354.0,Male,RIKEN,2.0,-4.859440458,,RPMI + 10% FBS,94.9,CVCL_1761,2073.0,oesophagus,Primary,Esophageal Cancer,Squamous Cell Carcinoma,58,SIDM00348,,esophagus,esophagus_squamous,,
ACH-000489,SW1116,SW1116,SW1116_LARGE_INTESTINE,,909746.0,Male,ATCC,,,,,,CVCL_0544,480.0,Colon,Primary,Colon/Colorectal Cancer,Adenocarcinoma,73,SIDM00835,,colorectal,colorectal_adenocarcinoma,,
ACH-000490,SF767,SF767,SF767_CENTRAL_NERVOUS_SYSTEM,,,Female,Academic lab,2.0,-5.096891033,not found,not found,91.8,CVCL_6950,,stomach,Metastasis,Brain Cancer,Astrocytoma,,SIDM00626,,central_nervous_system,glioma,astrocytoma,
ACH-000491,NCI-H716,NCIH716,NCIH716_LARGE_INTESTINE,,908458.0,Male,ATCC,3.0,-2.708090973,Adherent,RPMI + 10% FBS,92.0,CVCL_1581,649.0,ascites,Metastasis,Colon/Colorectal Cancer,Adenocarcinoma,33,SIDM00779,,colorectal,colorectal_adenocarcinoma,,
ACH-000492,MUTZ-5,MUTZ5,MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,DSMZ,,,,,,CVCL_1873,,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",26,,,blood,ALL,b_cell,
ACH-000493,SNU-423,SNU423,SNU423_LIVER,,909737.0,Male,ATCC,1.0,-3.2408550139999996,Adherent,RPMI + 10% FBS,83.3,CVCL_0366,481.0,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,40,SIDM01199,,liver,hepatocellular_carcinoma,,
ACH-000494,OELE,OELE,OELE_OVARY,OEL(E),,Unknown,Academic lab,,,,,,CVCL_IW56,,ovary,,Engineered,,,,,engineered_ovary,,,
ACH-000495,TUHR4TKB,TUHR4TKB,TUHR4TKB_KIDNEY,,,Male,RIKEN,1.0,-3.3984018519999997,Adherent,DMEM + 10% FBS,77.2,CVCL_5957,,kidney,Primary,Kidney Cancer,Renal Cell Carcinoma,60,,,kidney,renal_cell_carcinoma,,
ACH-000496,NCI-H1792,NCIH1792,NCIH1792_LUNG,,724868.0,Male,ATCC,4.0,-4.2674532339999995,Adherent,RPMI + 10% FBS,85.7,CVCL_1495,2122.0,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",50,SIDM00771,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000498,KO52,KO52,KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330932.0,Male,HSRRB,1.0,-1.051070158,Suspension,AlphaMEM + 10% heat inactivated FBS,99.6,CVCL_1321,1325.0,bone_marrow,,Leukemia,"Acute Myelogenous Leukemia (AML), M2 (Myeloblastic)",46,SIDM00018,,blood,AML,M2,
ACH-000499,EW8,EW8,EW8_BONE,,,Male,Academic lab,2.0,-2.872731124,not found,not found,56.8,CVCL_V618,,bone,,Bone Cancer,Ewings Sarcoma,,,,bone,Ewing_sarcoma,,EWS_FLI
ACH-000500,SNU-46,SNU46,SNU46_UPPER_AERODIGESTIVE_TRACT,,,Male,KCLB,2.0,-1.40797428,,RPMI + 10% heat inactivated FBS + 300mg/l L-glutamine + 25mM HEPES + 25mM Sodium bicarbonate,50.3,CVCL_5063,,upper_aerodigestive_tract,,Head and Neck Cancer,"Squamous Cell Carcinoma, laryngeal",66,,,upper_aerodigestive,upper_aerodigestive_squamous,laryngeal,
ACH-000501,LS123,LS123,LS123_LARGE_INTESTINE,,907792.0,Female,ATCC,,,,,,CVCL_1383,2266.0,Colon,Primary,Colon/Colorectal Cancer,Adenocarcinoma,65,SIDM00776,,colorectal,colorectal_adenocarcinoma,,
ACH-000502,TCC-PAN2,TCCPAN2,TCCPAN2_PANCREAS,,,Female,HSRRB,3.0,-4.7330099,Adherent,RPMI + 10% FBS,83.7,CVCL_3178,,ascites,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",68,,,pancreas,exocrine,exocrine_adenocarcinoma,
ACH-000503,BICR 16,BICR16,BICR16_UPPER_AERODIGESTIVE_TRACT,,,Male,ECACC,2.0,-2.456833166,Adherent,DMEM + 10% FBS + 2mM Glutamine,73.7,CVCL_2308,,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",,,,upper_aerodigestive,upper_aerodigestive_squamous,oral,
ACH-000504,SNB75,SNB75,SNB75_CENTRAL_NERVOUS_SYSTEM,,905982.0,Female,Academic lab,2.0,-3.7586564989999998,Adherent,RPMI + 5% FBS,67.7,CVCL_1706,1181.0,central_nervous_system,Primary,Brain Cancer,Glioma,,SIDM00095,,central_nervous_system,glioma,,
ACH-000505,RKN,RKN,RKN_SOFT_TISSUE,,1298539.0,Female,HSRRB,2.0,-5.017837643,,F12 + 10% FBS,82.2,CVCL_3156,1471.0,ovary,Primary,Sarcoma,Leiomyosarcoma,45,SIDM00353,,soft_tissue,leiomyosarcoma,,
ACH-000506,NCI-H146,NCIH146,NCIH146_LUNG,,910899.0,Male,ATCC,,,,,,CVCL_1473,932.0,bone_marrow,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),59,SIDM00698,,lung,SCLC,,
ACH-000507,KE-39,KE39,KE39_STOMACH,,,Male,RIKEN,2.0,-4.184025082,Adherent,RPMI + 10% FBS,70.0,CVCL_3385,,lymph_node,Metastasis,Gastric Cancer,Adenocarcinoma,77,,,gastric,gastric_adenocarcinoma,,
ACH-000508,COR-L88,CORL88,CORL88_LUNG,,906808.0,Male,ECACC,,,,,,CVCL_1141,774.0,pleural_effusion,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),55,SIDM00506,,lung,SCLC,,
ACH-000509,HuT 78,HUT78,HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,ATCC,,,,,,CVCL_0337,,haematopoietic_and_lymphoid_tissue,,Lymphoma,"T-cell, Non-Hodgkins, Cutaneous",53,SIDM00851,,lymphocyte,non_hodgkin_lymphoma,t_cell_cutaneous,
ACH-000510,NCI-H1299,NCIH1299,NCIH1299_LUNG,,724831.0,Male,ATCC,2.0,-5.207314737,Adherent,RPMI + 10% FBS,64.8,CVCL_0060,1235.0,lymph_node,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",43,SIDM00649,,lung,NSCLC,NSCLC_large_cell,
ACH-000511,Calu-1,CALU1,CALU1_LUNG,,,Male,ATCC,2.0,-4.923114127,Adherent,McCoy's 5A + 10% FBS,78.7,CVCL_0608,,pleura,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",47,,,lung,NSCLC,NSCLC_squamous,
ACH-000512,,INA6,INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,INA-6,,Male,Academic lab,1.0,-2.1845573640000002,not found,not found,98.5,CVCL_5209,,pleural_effusion,,Myeloma,Multiple Myeloma,,,,plasma_cell,multiple_myeloma,,
ACH-000513,SNU-1272,SNU1272,SNU1272_KIDNEY,,,Female,KCLB,,,,,,CVCL_8788,,kidney,,Kidney Cancer,"Renal Carcinoma, clear cell",63,,,kidney,renal_cell_carcinoma,clear_cell,
ACH-000514,NCI-H1092,NCIH1092,NCIH1092_LUNG,,687997.0,Male,ATCC,2.0,-3.529716272,Suspension,RPMI + 5% FBS + 2mM L-glutamine + 5ml Insulin-Transferrin-Selenium + 10nM Hydrocortisone + 10nM Beta estradiol,68.7,CVCL_1454,1928.0,bone_marrow,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),67,SIDM00653,,lung,SCLC,,
ACH-000515,HCC-33,HCC33,HCC33_LUNG,,1303901.0,Male,DSMZ,,,,,,CVCL_2058,353.0,pleural_effusion,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),52,SIDM01071,,lung,SCLC,,
ACH-000516,CAL-78,CAL78,CAL78_BONE,,1290765.0,Male,DSMZ,2.0,-5.56636951,Adherent,RPMI + 20% FBS,66.6,CVCL_1809,1148.0,soft_tissue,,Bone Cancer,Chondrosarcoma,76,SIDM00929,,bone,chondrosarcoma,,
ACH-000517,SNU-410,SNU410,SNU410_PANCREAS,,,Male,KCLB,3.0,-5.7340314039999996,,RPMI + 10% FBS,81.4,CVCL_5059,,liver,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",53,,,pancreas,exocrine,exocrine_adenocarcinoma,
ACH-000518,CAL-33,CAL33,CAL33_UPPER_AERODIGESTIVE_TRACT,,753541.0,Male,DSMZ,2.0,-3.4654600639999997,Adherent,DMEM + 10% FBS + 2 mM L-glutamine,85.7,CVCL_1108,2041.0,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",69,SIDM00942,,upper_aerodigestive,upper_aerodigestive_squamous,oral,
ACH-000519,PEER,PEER,PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,HSRRB,,,,,,CVCL_1913,,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",4,SIDM00991,,blood,ALL,t_cell,
ACH-000520,59M,59M,59M_OVARY,,,Female,ECACC,2.0,-3.65997253,,DMEM + 10% FBS + 2mM Glutamine + Sodium pyruvate + Insulin-Transferrin-Selenium,94.3,CVCL_2291,,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",,,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000521,NCI-H2030,NCIH2030,NCIH2030_LUNG,,722045.0,Male,ATCC,3.0,-3.026617677,Adherent,RPMI + 10% FBS,85.8,CVCL_1517,912.0,lymph_node,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,SIDM00715,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000522,UM-UC-3,UMUC3,UMUC3_URINARY_TRACT,,724838.0,Male,ATCC,2.0,-5.129862323999999,Adherent,EMEM + 10% FBS,88.3,CVCL_1783,9.0,urinary_tract,Primary,Bladder Cancer,Transitional Cell Carcinoma,,SIDM01182,,urinary_tract,bladder_carcinoma,bladder_transitional_cell,
ACH-000523,NCI-H1184,NCIH1184,NCIH1184_LUNG,H1184,,Male,ATCC,,,,,,CVCL_1458,,lymph_node,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),42,,,lung,SCLC,,
ACH-000524,KURAMOCHI,KURAMOCHI,KURAMOCHI_OVARY,,909975.0,Female,HSRRB,3.0,-5.855149712999999,,RPMI + 10% FBS,52.1,CVCL_1345,854.0,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",,SIDM00554,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000525,NCI-H2171,NCIH2171,NCIH2171_LUNG,H2171,688015.0,Male,ATCC,,,,,,CVCL_1536,1571.0,pleural_effusion,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),50,SIDM00733,,lung,SCLC,,
ACH-000526,Hs 821.T,HS821T,HS821T_FIBROBLAST,,,Female,ATCC,,,,,,CVCL_0932,,fibroblast,Primary,Fibroblast,Bone,31,,,fibroblast,fibroblast_bone,,
ACH-000527,OVISE,OVISE,OVISE_OVARY,,1240198.0,Female,HSRRB,3.0,-5.804772285,,RPMI + 10% FBS,68.2,CVCL_3116,358.0,bone,Metastasis,Ovarian Cancer,"Adenocarcinoma, clear cell",40,SIDM00564,,ovary,ovary_adenocarcinoma,clear_cell,
ACH-000528,ABC-1,ABC1,ABC1_LUNG,,906791.0,Male,HSRRB,3.0,-5.636566687999999,Adherent,EMEM + 10% FBS,77.5,CVCL_1066,1557.0,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",47,SIDM00494,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000529,T1-73,T173,T173_FIBROBLAST,,,Unknown,ATCC,,,,,,CVCL_3605,,fibroblast,,Fibroblast,Bone,,,,fibroblast,fibroblast_bone,,
ACH-000530,DMS 114,DMS114,DMS114_LUNG,,687983.0,Male,ATCC,,,,,,CVCL_1174,1495.0,lung,Primary,Lung Cancer,Small Cell Lung Cancer (SCLC),68,SIDM00865,,lung,SCLC,,
ACH-000531,,RS5,RS5_FIBROBLAST,,,Male,DSMZ,,,,,,CVCL_2182,,fibroblast,,Fibroblast,Lung,78,,,fibroblast,fibroblast_lung,,
ACH-000532,SNU-61,SNU61,SNU61_LARGE_INTESTINE,,1660035.0,Male,KCLB,,,,,,CVCL_5078,151.0,liver,Metastasis,Colon/Colorectal Cancer,Adenocarcinoma,48,SIDM00194,,colorectal,colorectal_adenocarcinoma,,
ACH-000533,NCI-H2004 RT,NCIH2004RT,NCIH2004RT_SOFT_TISSUE,,,Unknown,Academic lab,2.0,-3.319790538,not found,not found,39.9,CVCL_WS70,,soft_tissue,,Rhabdoid,Malignant Rhabdoid Tumor,,,,soft_tissue,malignant_rhabdoid_tumor,,
ACH-000534,WSU-DLCL2,WSUDLCL2,WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1331050.0,Male,DSMZ,,,,,,CVCL_1902,557.0,pleural_effusion,Metastasis,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),41,SIDM00413,,lymphocyte,non_hodgkin_lymphoma,DLBCL,
ACH-000535,BxPC-3,BXPC3,BXPC3_PANCREAS,,906693.0,Female,ATCC,2.0,-4.19943711,Adherent,RPMI + 10% FBS,81.6,CVCL_0186,1978.0,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",61,SIDM00132,,pancreas,exocrine,exocrine_adenocarcinoma,
ACH-000536,BT-20,BT20,BT20_BREAST,,906801.0,Female,ATCC,,,,,,CVCL_0178,2264.0,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,74,SIDM00893,,breast,breast_ductal_carcinoma,ERneg_HER2neg,basal_A
ACH-000537,SNU-761,SNU761,SNU761_LIVER,,,Male,KCLB,1.0,-5.252504492,,RPMI + 10% FBS,89.1,CVCL_5089,,liver,,Liver Cancer,Hepatocellular Carcinoma,49,,,liver,hepatocellular_carcinoma,,
ACH-000538,HUTU80,HUTU80,HUTU80_SMALL_INTESTINE,,907073.0,Male,ATCC,0.0,-1.591047349,,EMEM + 10% FBS,60.0,CVCL_1301,305.0,small_intestine,Primary,Gastric Cancer,Duodenal Adenocarcinoma,53,SIDM00694,,gastric,duodenal_adenocarcinoma,,
ACH-000539,Hs 618.T,HS618T,HS618T_FIBROBLAST,,,Female,ATCC,,,,,,CVCL_0827,,fibroblast,Primary,Fibroblast,Lung,60,,,fibroblast,fibroblast_lung,,
ACH-000540,Hs 606.T,HS606T,HS606T_FIBROBLAST,,,Female,ATCC,,,,,,CVCL_0819,,fibroblast,,Fibroblast,Breast,44,,,fibroblast,fibroblast_breast,,
ACH-000541,KMS-34,KMS34,KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,HSRRB,1.0,-2.155246269,,RPMI + 10% FBS,97.4,CVCL_2996,,pleural_effusion,Primary,Myeloma,Multiple Myeloma,60,,,plasma_cell,multiple_myeloma,,
ACH-000542,Hey-A8,HEYA8,HEYA8_OVARY,,,Female,Academic lab,3.0,-3.515303779,Adherent,RPMI + 10% FBS,92.9,CVCL_8878,,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, low grade serous",,SIDM01215,,ovary,ovary_adenocarcinoma,low_grade_serous,
ACH-000543,SNU-489,SNU489,SNU489_CENTRAL_NERVOUS_SYSTEM,,,Male,KCLB,,,,,,CVCL_5069,,central_nervous_system,,Brain Cancer,Glioblastoma,54,,,central_nervous_system,glioma,glioblastoma,
ACH-000544,OE21,OE21,OE21_OESOPHAGUS,,1298359.0,Male,HPACC,2.0,-3.993280183,Adherent,RPMI + 10% FBS,84.6,CVCL_2661,2152.0,oesophagus,Primary,Esophageal Cancer,Squamous Cell Carcinoma,74,SIDM00478,,esophagus,esophagus_squamous,,
ACH-000545,VM-CUB1,VMCUB1,VMCUB1_URINARY_TRACT,,909780.0,Male,DSMZ,2.0,-3.9779758210000002,Adherent,DMEM + 10% FBS,67.2,CVCL_1786,276.0,urinary_tract,Primary,Bladder Cancer,Transitional Cell Carcinoma,,SIDM00414,,urinary_tract,bladder_carcinoma,bladder_transitional_cell,
ACH-000546,HSC-4,HSC4,HSC4_UPPER_AERODIGESTIVE_TRACT,,907062.0,Male,HSRRB,,,,,,CVCL_1289,99.0,upper_aerodigestive_tract,Metastasis,Head and Neck Cancer,Squamous Cell Carcinoma,64,SIDM00588,,upper_aerodigestive,upper_aerodigestive_squamous,,
ACH-000547,HT-1197,HT1197,HT1197_URINARY_TRACT,,907065.0,Male,ATCC,2.0,-2.868265098,Adherent,EMEM + 10% FBS,72.0,CVCL_1291,1533.0,urinary_tract,Primary,Bladder Cancer,Carcinoma,44,SIDM00676,,urinary_tract,bladder_carcinoma,,
ACH-000548,BHY,BHY,BHY_UPPER_AERODIGESTIVE_TRACT,,753535.0,Male,DSMZ,2.0,-3.923963104,,DMEM + 10% FBS,91.2,CVCL_1086,748.0,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",52,SIDM00986,,upper_aerodigestive,upper_aerodigestive_squamous,oral,
ACH-000549,SNU-1076,SNU1076,SNU1076_UPPER_AERODIGESTIVE_TRACT,,,Male,KCLB,2.0,-3.221794252,,RPMI + 10% heat inactivated FBS + 300mg/l L-glutamine + 25mM HEPES + 25mM Sodium bicarbonate,85.0,CVCL_5006,,upper_aerodigestive_tract,,Head and Neck Cancer,"Squamous Cell Carcinoma, laryngeal",60,SIDM00168,,upper_aerodigestive,upper_aerodigestive_squamous,laryngeal,
ACH-000550,IGR-39,IGR39,IGR39_SKIN,,,Male,DSMZ,2.0,-4.453872456,Adherent,DMEM + 15% FBS,71.1,CVCL_2076,,skin,Primary,Skin Cancer,Melanoma,26,SIDM01065,,skin,melanoma,,
ACH-000551,K-562,K562,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,905940.0,Female,ATCC,2.0,-3.208706556,Suspension,IMDM + 10% FBS,46.8,CVCL_0004,2098.0,pleural_effusion,Metastasis,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",53,SIDM00791,,blood,CML,blast_crisis,
ACH-000552,HT-29,HT29,HT29_LARGE_INTESTINE,,905939.0,Female,ATCC,2.0,-4.44775747,Adherent,McCoy's 5A + 10% FBS,85.2,CVCL_0320,1212.0,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,44,SIDM00136,,colorectal,colorectal_adenocarcinoma,,
ACH-000553,Sq-1,SQ1,SQ1_LUNG,,,Male,RIKEN,,,,,,CVCL_4900,,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",,,,lung,NSCLC,NSCLC_squamous,
ACH-000554,UACC-893,UACC893,UACC893_BREAST,,909778.0,Female,ATCC,,,,,,CVCL_1782,1090.0,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,57,SIDM01186,,breast,breast_ductal_carcinoma,ERneg_HER2pos,HER2_amp
ACH-000555,A-498,A498,A498_KIDNEY,,905948.0,Male,ATCC,,,,,,CVCL_1056,602.0,kidney,Primary,Kidney Cancer,Renal Cell Carcinoma,52,SIDM00124,,kidney,renal_cell_carcinoma,,
ACH-000556,SIHA,SIHA,SIHA_CERVIX,,930297.0,Female,ATCC,2.0,-4.033755928,Adherent,EMEM (EBSS) + 10%FBS,90.5,CVCL_0032,1354.0,cervix,,Cervical Cancer,Carcinoma,,SIDM01093,,cervix,cervical_carcinoma,,
ACH-000557,AML-193,AML193,AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,ATCC,2.0,-2.6428427930000002,Suspension,IMDM + 5% FBS + 10ug/ml Insulin+ 5ug/ml Transferrin + 2ng/ml GM-CSF,90.5,CVCL_1071,,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",13,,,blood,AML,M5,
ACH-000558,A-172,A172,A172_CENTRAL_NERVOUS_SYSTEM,,687563.0,Male,ATCC,,,,,,CVCL_0131,1777.0,central_nervous_system,Primary,Brain Cancer,Glioblastoma,53,SIDM00799,,central_nervous_system,glioma,glioblastoma,
ACH-000559,NCI-H1836,NCIH1836,NCIH1836_LUNG,,1240182.0,Male,ATCC,,,,,,CVCL_1498,1829.0,lung,Primary,Lung Cancer,Small Cell Lung Cancer (SCLC),52,SIDM00770,,lung,SCLC,,
ACH-000560,ECC10,ECC10,ECC10_STOMACH,,906848.0,Male,RIKEN,,,,,,CVCL_1188,799.0,liver,,Gastric Cancer,Small Cell Carcinoma,,SIDM00280,,gastric,gastric_small_cell,,
ACH-000561,T.T,TDOTT,TT_OESOPHAGUS,,1299064.0,Male,HSRRB,,,,,,CVCL_3174,544.0,bone,Metastasis,Esophageal Cancer,Squamous Cell Carcinoma,,SIDM00322,,esophagus,esophagus_squamous,,
ACH-000562,HCC-78,HCC78,HCC78_LUNG,,1290908.0,Male,DSMZ,,,,,,CVCL_2061,639.0,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",65,SIDM01068,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000563,EBC-1,EBC1,EBC1_LUNG,,753554.0,Male,RIKEN,2.0,-2.4905034,Adherent,EMEM + 10% FBS,76.3,CVCL_2891,1665.0,skin,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",69,SIDM00486,,lung,NSCLC,NSCLC_squamous,
ACH-000564,KHM-1B,KHM1B,KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,HSRRB,,,,,,CVCL_2972,,pleural_effusion,Primary,Myeloma,Multiple Myeloma,53,,,plasma_cell,multiple_myeloma,,
ACH-000565,RCM-1,RCM1,RCM1_LARGE_INTESTINE,,909263.0,Female,HSRRB,0.0,-2.380494305,Adherent,RPMI:F12 (1:1) + 20% FBS,79.1,CVCL_1648,1271.0,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,73,SIDM00359,,colorectal,colorectal_adenocarcinoma,,
ACH-000566,SW-1710,SW1710,SW1710_URINARY_TRACT,,909749.0,Female,DSMZ,,,,,,CVCL_1721,2.0,urinary_tract,Primary,Bladder Cancer,Transitional Cell Carcinoma,84,SIDM00420,,urinary_tract,bladder_carcinoma,bladder_transitional_cell,
ACH-000567,ST486,ST486,ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,910906.0,Female,ATCC,,,,,,CVCL_1712,130.0,ascites,,Lymphoma,"B-cell, Non-Hodgkins, Burkitts",,SIDM01198,,lymphocyte,non_hodgkin_lymphoma,b_cell_burkitt,
ACH-000568,UACC-812,UACC812,UACC812_BREAST,,910910.0,Female,ATCC,0.0,-0.221450124,Suspension,RPMI + 20% FBS,81.1,CVCL_1781,1754.0,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,43,SIDM01187,,breast,breast_ductal_carcinoma,ERpos_HER2pos,luminal
ACH-000569,IST-MES1,ISTMES1,ISTMES1_PLEURA,,907173.0,Female,ICLC,0.0,-2.111102216,Adherent,DMEM + 10% FBS + 2mM Glutamax,80.0,CVCL_1311,1001.0,pleural_effusion,Primary,Lung Cancer,Mesothelioma,70,SIDM00224,,lung,mesothelioma,,
ACH-000570,YKG1,YKG1,YKG1_CENTRAL_NERVOUS_SYSTEM,,687592.0,Female,HSRRB,2.0,-4.778727761,,DMEM + 10% FBS,78.9,CVCL_1796,61.0,central_nervous_system,Primary,Brain Cancer,Glioblastoma,,SIDM00315,,central_nervous_system,glioma,glioblastoma,
ACH-000571,T98G,T98G,T98G_CENTRAL_NERVOUS_SYSTEM,,687586.0,Male,ATCC,2.0,-4.705596718,Adherent,EMEM + 10% FBS,79.6,CVCL_0556,131.0,central_nervous_system,Primary,Brain Cancer,Glioblastoma,61,SIDM01171,,central_nervous_system,glioma,glioblastoma,
ACH-000572,G-361,G361,G361_SKIN,,906865.0,Male,ATCC,,,,,,CVCL_1220,1173.0,skin,Primary,Skin Cancer,Melanoma,31,SIDM00857,,skin,melanoma,,
